Date,Cross Section,Water_Elevation
03/04/2025 06:00,184803  ,141.22694396972656
03/04/2025 06:00,184715  ,141.22665405273438
03/04/2025 06:00,184704  ,141.22665405273438
03/04/2025 06:00,184694  ,141.22572326660156
03/04/2025 06:00,184499  ,141.22450256347656
03/04/2025 06:00,184305  ,141.22328186035156
03/04/2025 06:00,184110  ,141.2217559814453
03/04/2025 06:00,183915  ,141.22055053710938
03/04/2025 06:00,183720  ,141.21902465820312
03/04/2025 06:00,183525  ,141.21780395507812
03/04/2025 06:00,183331  ,141.21627807617188
03/04/2025 06:00,183136  ,141.21475219726562
03/04/2025 06:00,182941  ,141.2135467529297
03/04/2025 06:00,182746  ,141.21202087402344
03/04/2025 06:00,182552  ,141.2104949951172
03/04/2025 06:00,182357  ,141.20896911621094
03/04/2025 06:00,182162  ,141.2074432373047
03/04/2025 06:00,181967  ,141.20591735839844
03/04/2025 06:00,181772  ,141.2043914794922
03/04/2025 06:00,181578  ,141.2031707763672
03/04/2025 06:00,181383  ,141.20166015625
03/04/2025 06:00,181185  ,141.20013427734375
03/04/2025 06:00,180988  ,141.1982879638672
03/04/2025 06:00,180790  ,141.19647216796875
03/04/2025 06:00,180593  ,141.1943359375
03/04/2025 06:00,180396  ,141.19158935546875
03/04/2025 06:00,180198  ,141.1888427734375
03/04/2025 06:00,180001  ,141.1855010986328
03/04/2025 06:00,179803  ,141.1818389892578
03/04/2025 06:00,179606  ,141.1775665283203
03/04/2025 06:00,179408  ,141.17269897460938
03/04/2025 06:00,179211  ,141.16751098632812
03/04/2025 06:00,179013  ,141.16140747070312
03/04/2025 06:00,178816  ,141.15440368652344
03/04/2025 06:00,178618  ,141.1467742919922
03/04/2025 06:00,178421  ,141.13824462890625
03/04/2025 06:00,178223  ,141.1284942626953
03/04/2025 06:00,178026  ,141.11782836914062
03/04/2025 06:00,177829  ,141.1056365966797
03/04/2025 06:00,177631  ,141.09222412109375
03/04/2025 06:00,177434  ,141.07699584960938
03/04/2025 06:00,177236  ,141.05992126464844
03/04/2025 06:00,177039  ,141.0404052734375
03/04/2025 06:00,176841  ,141.01876831054688
03/04/2025 06:00,176644  ,140.99407958984375
03/04/2025 06:00,176446  ,140.96603393554688
03/04/2025 06:00,176249  ,140.9346466064453
03/04/2025 06:00,176051  ,140.89898681640625
03/04/2025 06:00,175862  ,140.87155151367188
03/04/2025 06:00,175673  ,140.850830078125
03/04/2025 06:00,175484  ,140.83741760253906
03/04/2025 06:00,175295  ,140.82980346679688
03/04/2025 06:00,175106  ,140.82614135742188
03/04/2025 06:00,175100  ,140.82614135742188
03/04/2025 06:00,175085  ,140.82339477539062
03/04/2025 06:00,174892  ,140.81973266601562
03/04/2025 06:00,174699  ,140.81576538085938
03/04/2025 06:00,174507  ,140.8118133544922
03/04/2025 06:00,174314  ,140.80784606933594
03/04/2025 06:00,174121  ,140.8038787841797
03/04/2025 06:00,173929  ,140.79991149902344
03/04/2025 06:00,173736  ,140.795654296875
03/04/2025 06:00,173543  ,140.7913818359375
03/04/2025 06:00,173351  ,140.78712463378906
03/04/2025 06:00,173158  ,140.78285217285156
03/04/2025 06:00,172965  ,140.77828979492188
03/04/2025 06:00,172773  ,140.77401733398438
03/04/2025 06:00,172580  ,140.76943969726562
03/04/2025 06:00,172387  ,140.7651824951172
03/04/2025 06:00,172195  ,140.76060485839844
03/04/2025 06:00,172002  ,140.75634765625
03/04/2025 06:00,171809  ,140.7520751953125
03/04/2025 06:00,171617  ,140.747802734375
03/04/2025 06:00,171424  ,140.74383544921875
03/04/2025 06:00,171231  ,140.7401885986328
03/04/2025 06:00,171039  ,140.7365264892578
03/04/2025 06:00,170845  ,140.7328643798828
03/04/2025 06:00,170652  ,140.72891235351562
03/04/2025 06:00,170459  ,140.72433471679688
03/04/2025 06:00,170266  ,140.71945190429688
03/04/2025 06:00,170072  ,140.7142791748047
03/04/2025 06:00,169879  ,140.7087860107422
03/04/2025 06:00,169686  ,140.7026824951172
03/04/2025 06:00,169493  ,140.69598388671875
03/04/2025 06:00,169299  ,140.6886749267578
03/04/2025 06:00,169106  ,140.68104553222656
03/04/2025 06:00,168913  ,140.67251586914062
03/04/2025 06:00,168720  ,140.66307067871094
03/04/2025 06:00,168526  ,140.6533203125
03/04/2025 06:00,168333  ,140.642333984375
03/04/2025 06:00,168140  ,140.63075256347656
03/04/2025 06:00,167946  ,140.6179656982422
